Productcat,Date,Sales
ProdCat1,01-01-2014,729
ProdCat1,02-01-2014,698
ProdCat1,03-01-2014,597
ProdCat1,04-01-2014,729
ProdCat1,07-01-2014,1160
ProdCat1,08-01-2014,774
ProdCat1,09-01-2014,655
ProdCat1,10-01-2014,684
ProdCat1,11-01-2014,1258
ProdCat1,13-01-2014,53
ProdCat1,14-01-2014,819
ProdCat1,15-01-2014,826
ProdCat1,16-01-2014,738
ProdCat1,17-01-2014,711
ProdCat1,18-01-2014,801
ProdCat1,21-01-2014,793
ProdCat1,22-01-2014,705
ProdCat1,23-01-2014,868
ProdCat1,24-01-2014,811
ProdCat1,25-01-2014,733
ProdCat1,27-01-2014,40
ProdCat1,28-01-2014,818
ProdCat1,29-01-2014,779
ProdCat1,30-01-2014,800
ProdCat1,31-01-2014,1115
ProdCat2,13-06-2013,642
ProdCat2,14-06-2013,524
ProdCat2,15-06-2013,683
ProdCat2,18-06-2013,402
ProdCat2,19-06-2013,191
ProdCat2,20-06-2013,256
ProdCat2,21-06-2013,525
ProdCat2,22-06-2013,909
ProdCat2,25-06-2013,580
ProdCat2,26-06-2013,225
ProdCat2,27-06-2013,689
ProdCat2,28-06-2013,785
ProdCat2,29-06-2013,1765
ProdCat2,02-07-2013,322
ProdCat2,03-07-2013,276
ProdCat2,04-07-2013,749
ProdCat2,05-07-2013,516
ProdCat2,06-07-2013,489
ProdCat2,09-07-2013,590
ProdCat2,10-07-2013,179
ProdCat2,11-07-2013,335
ProdCat2,12-07-2013,1143
ProdCat2,13-07-2013,689
ProdCat2,16-07-2013,523
ProdCat2,17-07-2013,486
ProdCat2,18-07-2013,459
ProdCat2,19-07-2013,501
ProdCat2,20-07-2013,412
ProdCat2,23-07-2013,447
ProdCat2,24-07-2013,482
ProdCat2,25-07-2013,534
ProdCat2,26-07-2013,603
ProdCat2,27-07-2013,472
ProdCat2,30-07-2013,467
ProdCat2,31-07-2013,593
ProdCat2,01-08-2013,520
ProdCat2,02-08-2013,576
ProdCat2,03-08-2013,543
ProdCat2,06-08-2013,686
ProdCat2,07-08-2013,720
ProdCat2,08-08-2013,514
ProdCat2,09-08-2013,517
ProdCat2,10-08-2013,285
ProdCat2,13-08-2013,640
ProdCat2,14-08-2013,503
ProdCat2,15-08-2013,529
ProdCat2,16-08-2013,398
ProdCat2,17-08-2013,433
ProdCat2,20-08-2013,660
ProdCat2,21-08-2013,550
ProdCat2,22-08-2013,551
ProdCat2,23-08-2013,575
ProdCat2,24-08-2013,1244
ProdCat2,27-08-2013,385
ProdCat2,28-08-2013,463
ProdCat2,29-08-2013,593
ProdCat2,30-08-2013,599
ProdCat2,31-08-2013,751
ProdCat2,03-09-2013,365
ProdCat2,04-09-2013,463
ProdCat2,05-09-2013,473
ProdCat2,06-09-2013,452
ProdCat2,07-09-2013,398
ProdCat2,10-09-2013,403
ProdCat2,11-09-2013,442
ProdCat2,12-09-2013,1355
ProdCat2,13-09-2013,394
ProdCat2,14-09-2013,278
ProdCat2,17-09-2013,359
ProdCat2,18-09-2013,446
ProdCat2,19-09-2013,424
ProdCat2,20-09-2013,540
ProdCat2,21-09-2013,319
ProdCat2,24-09-2013,491
ProdCat2,25-09-2013,1560
ProdCat2,26-09-2013,670
ProdCat2,27-09-2013,646
ProdCat2,28-09-2013,718
ProdCat2,01-10-2013,670
ProdCat2,02-10-2013,647
ProdCat2,03-10-2013,495
ProdCat2,04-10-2013,659
ProdCat2,05-10-2013,658
ProdCat2,08-10-2013,519
ProdCat2,09-10-2013,499
ProdCat2,10-10-2013,566
ProdCat2,11-10-2013,530
ProdCat2,12-10-2013,402
ProdCat2,15-10-2013,365
ProdCat2,16-10-2013,394
ProdCat2,17-10-2013,580
ProdCat2,18-10-2013,441
ProdCat2,19-10-2013,454
ProdCat2,22-10-2013,443
ProdCat2,23-10-2013,473
ProdCat2,24-10-2013,633
ProdCat2,25-10-2013,645
ProdCat2,26-10-2013,511
ProdCat2,29-10-2013,629
ProdCat2,30-10-2013,439
ProdCat2,31-10-2013,736
ProdCat2,01-11-2013,615
ProdCat2,02-11-2013,329
ProdCat2,05-11-2013,333
ProdCat2,06-11-2013,472
ProdCat2,07-11-2013,411
ProdCat2,08-11-2013,651
ProdCat2,09-11-2013,432
ProdCat2,12-11-2013,437
ProdCat2,13-11-2013,540
ProdCat2,14-11-2013,421
ProdCat2,15-11-2013,546
ProdCat2,16-11-2013,467
ProdCat2,19-11-2013,472
ProdCat2,20-11-2013,394
ProdCat2,21-11-2013,499
ProdCat2,23-11-2013,488
ProdCat2,26-11-2013,473
ProdCat2,27-11-2013,454
ProdCat2,28-11-2013,720
ProdCat2,29-11-2013,469
ProdCat2,30-11-2013,702
ProdCat2,03-12-2013,663
ProdCat2,04-12-2013,491
ProdCat2,05-12-2013,538
ProdCat2,06-12-2013,536
ProdCat2,07-12-2013,572
ProdCat2,10-12-2013,538
ProdCat2,11-12-2013,534
ProdCat2,12-12-2013,456
ProdCat2,13-12-2013,589
ProdCat2,14-12-2013,484
ProdCat2,17-12-2013,516
ProdCat2,18-12-2013,454
ProdCat2,19-12-2013,576
ProdCat2,20-12-2013,506
ProdCat2,21-12-2013,2776
ProdCat2,24-12-2013,272
ProdCat2,25-12-2013,456
ProdCat2,26-12-2013,338
ProdCat2,27-12-2013,459
ProdCat2,28-12-2013,329
ProdCat2,31-12-2013,599
ProdCat2,01-01-2014,356
ProdCat2,02-01-2014,443
ProdCat2,03-01-2014,335
ProdCat2,04-01-2014,465
ProdCat2,07-01-2014,841
ProdCat2,08-01-2014,471
ProdCat2,09-01-2014,382
ProdCat2,10-01-2014,449
ProdCat2,11-01-2014,965
ProdCat2,13-01-2014,30
ProdCat2,14-01-2014,460
ProdCat2,15-01-2014,439
ProdCat2,16-01-2014,423
ProdCat2,17-01-2014,441
ProdCat2,18-01-2014,428
ProdCat2,21-01-2014,428
ProdCat2,22-01-2014,355
ProdCat2,23-01-2014,532
ProdCat2,24-01-2014,489
ProdCat2,25-01-2014,360
ProdCat2,27-01-2014,23
ProdCat2,28-01-2014,420
ProdCat2,29-01-2014,395
ProdCat2,30-01-2014,437
ProdCat2,31-01-2014,776
ProdCat3,13-06-2013,130
ProdCat3,14-06-2013,116
ProdCat3,15-06-2013,151
ProdCat3,18-06-2013,172
ProdCat3,19-06-2013,142
ProdCat3,20-06-2013,114
ProdCat3,21-06-2013,101
ProdCat3,22-06-2013,165
ProdCat3,25-06-2013,278
ProdCat3,26-06-2013,254
ProdCat3,27-06-2013,234
ProdCat3,28-06-2013,213
ProdCat3,29-06-2013,325
ProdCat3,02-07-2013,306
ProdCat3,03-07-2013,256
ProdCat3,04-07-2013,159
ProdCat3,05-07-2013,160
ProdCat3,06-07-2013,161
ProdCat3,09-07-2013,122
ProdCat3,10-07-2013,113
ProdCat3,11-07-2013,96
ProdCat3,12-07-2013,87
ProdCat3,13-07-2013,133
ProdCat3,16-07-2013,419
ProdCat3,17-07-2013,442
ProdCat3,18-07-2013,124
ProdCat3,19-07-2013,159
ProdCat3,20-07-2013,122
ProdCat3,23-07-2013,133
ProdCat3,24-07-2013,121
ProdCat3,25-07-2013,87
ProdCat3,26-07-2013,87
ProdCat3,27-07-2013,161
ProdCat3,30-07-2013,125
ProdCat3,31-07-2013,130
ProdCat3,01-08-2013,88
ProdCat3,02-08-2013,43
ProdCat3,03-08-2013,90
ProdCat3,06-08-2013,83
ProdCat3,07-08-2013,112
ProdCat3,08-08-2013,57
ProdCat3,09-08-2013,52
ProdCat3,10-08-2013,137
ProdCat3,13-08-2013,130
ProdCat3,14-08-2013,120
ProdCat3,15-08-2013,70
ProdCat3,16-08-2013,69
ProdCat3,17-08-2013,124
ProdCat3,20-08-2013,137
ProdCat3,21-08-2013,130
ProdCat3,22-08-2013,118
ProdCat3,23-08-2013,117
ProdCat3,24-08-2013,168
ProdCat3,27-08-2013,169
ProdCat3,28-08-2013,131
ProdCat3,29-08-2013,109
ProdCat3,30-08-2013,88
ProdCat3,31-08-2013,117
ProdCat3,03-09-2013,90
ProdCat3,04-09-2013,90
ProdCat3,05-09-2013,78
ProdCat3,06-09-2013,70
ProdCat3,07-09-2013,103
ProdCat3,10-09-2013,112
ProdCat3,11-09-2013,153
ProdCat3,12-09-2013,146
ProdCat3,13-09-2013,61
ProdCat3,14-09-2013,117
ProdCat3,17-09-2013,166
ProdCat3,18-09-2013,195
ProdCat3,19-09-2013,88
ProdCat3,20-09-2013,77
ProdCat3,21-09-2013,135
ProdCat3,24-09-2013,127
ProdCat3,25-09-2013,130
ProdCat3,26-09-2013,99
ProdCat3,27-09-2013,87
ProdCat3,28-09-2013,298
ProdCat3,01-10-2013,255
ProdCat3,02-10-2013,109
ProdCat3,03-10-2013,81
ProdCat3,04-10-2013,61
ProdCat3,05-10-2013,142
ProdCat3,08-10-2013,164
ProdCat3,09-10-2013,177
ProdCat3,10-10-2013,138
ProdCat3,11-10-2013,113
ProdCat3,12-10-2013,187
ProdCat3,15-10-2013,173
ProdCat3,16-10-2013,160
ProdCat3,17-10-2013,135
ProdCat3,18-10-2013,114
ProdCat3,19-10-2013,169
ProdCat3,22-10-2013,148
ProdCat3,23-10-2013,144
ProdCat3,24-10-2013,125
ProdCat3,25-10-2013,108
ProdCat3,26-10-2013,363
ProdCat3,29-10-2013,157
ProdCat3,30-10-2013,166
ProdCat3,31-10-2013,127
ProdCat3,01-11-2013,87
ProdCat3,02-11-2013,164
ProdCat3,05-11-2013,163
ProdCat3,06-11-2013,130
ProdCat3,07-11-2013,117
ProdCat3,08-11-2013,112
ProdCat3,09-11-2013,196
ProdCat3,12-11-2013,194
ProdCat3,13-11-2013,221
ProdCat3,14-11-2013,177
ProdCat3,15-11-2013,164
ProdCat3,16-11-2013,209
ProdCat3,19-11-2013,234
ProdCat3,20-11-2013,244
ProdCat3,21-11-2013,222
ProdCat3,23-11-2013,205
ProdCat3,26-11-2013,202
ProdCat3,27-11-2013,143
ProdCat3,28-11-2013,129
ProdCat3,29-11-2013,114
ProdCat3,30-11-2013,174
ProdCat3,03-12-2013,151
ProdCat3,04-12-2013,233
ProdCat3,05-12-2013,182
ProdCat3,06-12-2013,176
ProdCat3,07-12-2013,270
ProdCat3,10-12-2013,147
ProdCat3,11-12-2013,160
ProdCat3,12-12-2013,95
ProdCat3,13-12-2013,85
ProdCat3,14-12-2013,139
ProdCat3,17-12-2013,163
ProdCat3,18-12-2013,174
ProdCat3,19-12-2013,161
ProdCat3,20-12-2013,127
ProdCat3,21-12-2013,261
ProdCat3,24-12-2013,68
ProdCat3,25-12-2013,373
ProdCat3,26-12-2013,234
ProdCat3,27-12-2013,209
ProdCat3,28-12-2013,257
ProdCat3,31-12-2013,281
ProdCat3,01-01-2014,348
ProdCat3,02-01-2014,239
ProdCat3,03-01-2014,248
ProdCat3,04-01-2014,246
ProdCat3,07-01-2014,299
ProdCat3,08-01-2014,285
ProdCat3,09-01-2014,255
ProdCat3,10-01-2014,224
ProdCat3,11-01-2014,278
ProdCat3,13-01-2014,21
ProdCat3,14-01-2014,342
ProdCat3,15-01-2014,369
ProdCat3,16-01-2014,299
ProdCat3,17-01-2014,250
ProdCat3,18-01-2014,335
ProdCat3,21-01-2014,324
ProdCat3,22-01-2014,309
ProdCat3,23-01-2014,296
ProdCat3,24-01-2014,286
ProdCat3,25-01-2014,325
ProdCat3,27-01-2014,14
ProdCat3,28-01-2014,347
ProdCat3,29-01-2014,333
ProdCat3,30-01-2014,312
ProdCat3,31-01-2014,282
ProdCat4,13-06-2013,30
ProdCat4,14-06-2013,31
ProdCat4,15-06-2013,33
ProdCat4,18-06-2013,29
ProdCat4,19-06-2013,10
ProdCat4,20-06-2013,7
ProdCat4,21-06-2013,9
ProdCat4,22-06-2013,8
ProdCat4,25-06-2013,30
ProdCat4,26-06-2013,8
ProdCat4,27-06-2013,7
ProdCat4,28-06-2013,9
ProdCat4,29-06-2013,16
ProdCat4,02-07-2013,16
ProdCat4,03-07-2013,16
ProdCat4,04-07-2013,13
ProdCat4,05-07-2013,13
ProdCat4,06-07-2013,14
ProdCat4,09-07-2013,12
ProdCat4,10-07-2013,8
ProdCat4,11-07-2013,8
ProdCat4,12-07-2013,8
ProdCat4,13-07-2013,9
ProdCat4,16-07-2013,9
ProdCat4,17-07-2013,9
ProdCat4,18-07-2013,8
ProdCat4,19-07-2013,9
ProdCat4,20-07-2013,9
ProdCat4,23-07-2013,9
ProdCat4,24-07-2013,10
ProdCat4,25-07-2013,8
ProdCat4,26-07-2013,8
ProdCat4,27-07-2013,5
ProdCat4,30-07-2013,17
ProdCat4,31-07-2013,17
ProdCat4,01-08-2013,9
ProdCat4,02-08-2013,13
ProdCat4,03-08-2013,16
ProdCat4,06-08-2013,14
ProdCat4,07-08-2013,14
ProdCat4,08-08-2013,14
ProdCat4,09-08-2013,10
ProdCat4,10-08-2013,10
ProdCat4,13-08-2013,10
ProdCat4,14-08-2013,10
ProdCat4,15-08-2013,10
ProdCat4,16-08-2013,10
ProdCat4,17-08-2013,12
ProdCat4,20-08-2013,12
ProdCat4,21-08-2013,12
ProdCat4,22-08-2013,12
ProdCat4,23-08-2013,13
ProdCat4,24-08-2013,16
ProdCat4,27-08-2013,14
ProdCat4,28-08-2013,14
ProdCat4,29-08-2013,14
ProdCat4,30-08-2013,16
ProdCat4,31-08-2013,29
ProdCat4,03-09-2013,16
ProdCat4,04-09-2013,14
ProdCat4,05-09-2013,14
ProdCat4,06-09-2013,17
ProdCat4,07-09-2013,18
ProdCat4,10-09-2013,17
ProdCat4,11-09-2013,16
ProdCat4,12-09-2013,16
ProdCat4,13-09-2013,16
ProdCat4,14-09-2013,14
ProdCat4,17-09-2013,12
ProdCat4,18-09-2013,10
ProdCat4,19-09-2013,10
ProdCat4,20-09-2013,10
ProdCat4,21-09-2013,12
ProdCat4,24-09-2013,13
ProdCat4,25-09-2013,12
ProdCat4,26-09-2013,12
ProdCat4,27-09-2013,13
ProdCat4,28-09-2013,13
ProdCat4,01-10-2013,16
ProdCat4,02-10-2013,14
ProdCat4,03-10-2013,16
ProdCat4,04-10-2013,18
ProdCat4,05-10-2013,20
ProdCat4,08-10-2013,22
ProdCat4,09-10-2013,20
ProdCat4,10-10-2013,17
ProdCat4,11-10-2013,16
ProdCat4,12-10-2013,16
ProdCat4,15-10-2013,12
ProdCat4,16-10-2013,10
ProdCat4,17-10-2013,10
ProdCat4,18-10-2013,9
ProdCat4,19-10-2013,9
ProdCat4,22-10-2013,8
ProdCat4,23-10-2013,7
ProdCat4,24-10-2013,5
ProdCat4,25-10-2013,5
ProdCat4,26-10-2013,7
ProdCat4,29-10-2013,5
ProdCat4,30-10-2013,5
ProdCat4,31-10-2013,5
ProdCat4,01-11-2013,9
ProdCat4,02-11-2013,12
ProdCat4,05-11-2013,10
ProdCat4,06-11-2013,10
ProdCat4,07-11-2013,10
ProdCat4,08-11-2013,10
ProdCat4,09-11-2013,12
ProdCat4,12-11-2013,10
ProdCat4,13-11-2013,8
ProdCat4,14-11-2013,8
ProdCat4,15-11-2013,8
ProdCat4,16-11-2013,12
ProdCat4,19-11-2013,14
ProdCat4,20-11-2013,14
ProdCat4,21-11-2013,14
ProdCat4,23-11-2013,31
ProdCat4,26-11-2013,36
ProdCat4,27-11-2013,17
ProdCat4,28-11-2013,16
ProdCat4,29-11-2013,16
ProdCat4,30-11-2013,20
ProdCat4,03-12-2013,12
ProdCat4,04-12-2013,12
ProdCat4,05-12-2013,13
ProdCat4,06-12-2013,14
ProdCat4,07-12-2013,16
ProdCat4,10-12-2013,9
ProdCat4,11-12-2013,8
ProdCat4,12-12-2013,8
ProdCat4,13-12-2013,7
ProdCat4,14-12-2013,7
ProdCat4,17-12-2013,7
ProdCat4,18-12-2013,7
ProdCat4,19-12-2013,7
ProdCat4,20-12-2013,7
ProdCat4,21-12-2013,7
ProdCat4,25-12-2013,4
ProdCat4,26-12-2013,4
ProdCat4,27-12-2013,4
ProdCat4,28-12-2013,7
ProdCat4,31-12-2013,21
ProdCat4,01-01-2014,25
ProdCat4,02-01-2014,16
ProdCat4,03-01-2014,13
ProdCat4,04-01-2014,18
ProdCat4,07-01-2014,20
ProdCat4,08-01-2014,18
ProdCat4,09-01-2014,18
ProdCat4,10-01-2014,12
ProdCat4,11-01-2014,16
ProdCat4,13-01-2014,3
ProdCat4,14-01-2014,17
ProdCat4,15-01-2014,17
ProdCat4,16-01-2014,17
ProdCat4,17-01-2014,21
ProdCat4,18-01-2014,38
ProdCat4,21-01-2014,42
ProdCat4,22-01-2014,40
ProdCat4,23-01-2014,40
ProdCat4,24-01-2014,36
ProdCat4,25-01-2014,48
ProdCat4,27-01-2014,3
ProdCat4,28-01-2014,51
ProdCat4,29-01-2014,51
ProdCat4,30-01-2014,51
ProdCat4,31-01-2014,57
ProdCat5,13-06-2013,34
ProdCat5,14-06-2013,75
ProdCat5,15-06-2013,27
ProdCat5,18-06-2013,64
ProdCat5,19-06-2013,1395
ProdCat5,20-06-2013,142
ProdCat5,21-06-2013,48
ProdCat5,22-06-2013,51
ProdCat5,25-06-2013,52
ProdCat5,26-06-2013,59
ProdCat5,27-06-2013,79
ProdCat5,28-06-2013,94
ProdCat5,29-06-2013,120
ProdCat5,02-07-2013,147
ProdCat5,03-07-2013,155
ProdCat5,04-07-2013,120
ProdCat5,05-07-2013,120
ProdCat5,06-07-2013,125
ProdCat5,09-07-2013,135
ProdCat5,10-07-2013,118
ProdCat5,11-07-2013,114
ProdCat5,12-07-2013,73
ProdCat5,13-07-2013,38
ProdCat5,16-07-2013,31
ProdCat5,17-07-2013,83
ProdCat5,18-07-2013,59
ProdCat5,19-07-2013,40
ProdCat5,20-07-2013,78
ProdCat5,23-07-2013,22
ProdCat5,24-07-2013,49
ProdCat5,25-07-2013,23
ProdCat5,26-07-2013,20
ProdCat5,27-07-2013,42
ProdCat5,30-07-2013,30
ProdCat5,31-07-2013,25
ProdCat5,01-08-2013,30
ProdCat5,02-08-2013,27
ProdCat5,03-08-2013,55
ProdCat5,06-08-2013,207
ProdCat5,07-08-2013,22
ProdCat5,08-08-2013,64
ProdCat5,09-08-2013,53
ProdCat5,10-08-2013,31
ProdCat5,13-08-2013,55
ProdCat5,14-08-2013,73
ProdCat5,15-08-2013,81
ProdCat5,16-08-2013,52
ProdCat5,17-08-2013,43
ProdCat5,20-08-2013,52
ProdCat5,21-08-2013,35
ProdCat5,22-08-2013,62
ProdCat5,23-08-2013,56
ProdCat5,24-08-2013,43
ProdCat5,27-08-2013,126
ProdCat5,28-08-2013,61
ProdCat5,29-08-2013,46
ProdCat5,30-08-2013,75
ProdCat5,31-08-2013,46
ProdCat5,03-09-2013,48
ProdCat5,04-09-2013,39
ProdCat5,05-09-2013,60
ProdCat5,06-09-2013,47
ProdCat5,07-09-2013,39
ProdCat5,10-09-2013,70
ProdCat5,11-09-2013,155
ProdCat5,12-09-2013,139
ProdCat5,13-09-2013,133
ProdCat5,14-09-2013,90
ProdCat5,17-09-2013,40
ProdCat5,18-09-2013,181
ProdCat5,19-09-2013,819
ProdCat5,20-09-2013,99
ProdCat5,21-09-2013,703
ProdCat5,24-09-2013,155
ProdCat5,25-09-2013,38
ProdCat5,26-09-2013,43
ProdCat5,27-09-2013,66
ProdCat5,28-09-2013,228
ProdCat5,01-10-2013,365
ProdCat5,02-10-2013,380
ProdCat5,03-10-2013,120
ProdCat5,04-10-2013,42
ProdCat5,05-10-2013,120
ProdCat5,08-10-2013,55
ProdCat5,09-10-2013,134
ProdCat5,10-10-2013,77
ProdCat5,11-10-2013,98
ProdCat5,12-10-2013,99
ProdCat5,15-10-2013,62
ProdCat5,16-10-2013,77
ProdCat5,17-10-2013,85
ProdCat5,18-10-2013,87
ProdCat5,19-10-2013,68
ProdCat5,22-10-2013,44
ProdCat5,23-10-2013,129
ProdCat5,24-10-2013,52
ProdCat5,25-10-2013,337
ProdCat5,26-10-2013,51
ProdCat5,29-10-2013,48
ProdCat5,30-10-2013,49
ProdCat5,31-10-2013,81
ProdCat5,01-11-2013,31
ProdCat5,02-11-2013,39
ProdCat5,05-11-2013,60
ProdCat5,06-11-2013,52
ProdCat5,07-11-2013,51
ProdCat5,08-11-2013,43
ProdCat5,09-11-2013,33
ProdCat5,12-11-2013,30
ProdCat5,13-11-2013,38
ProdCat5,14-11-2013,36
ProdCat5,15-11-2013,62
ProdCat5,16-11-2013,56
ProdCat5,19-11-2013,130
ProdCat5,20-11-2013,169
ProdCat5,21-11-2013,174
ProdCat5,23-11-2013,118
ProdCat5,26-11-2013,86
ProdCat5,27-11-2013,61
ProdCat5,28-11-2013,48
ProdCat5,29-11-2013,57
ProdCat5,30-11-2013,647
ProdCat5,03-12-2013,475
ProdCat5,04-12-2013,29
ProdCat5,05-12-2013,75
ProdCat5,06-12-2013,56
ProdCat5,07-12-2013,68
ProdCat5,09-12-2013,16
ProdCat5,10-12-2013,66
ProdCat5,11-12-2013,87
ProdCat5,12-12-2013,48
ProdCat5,13-12-2013,69
ProdCat5,14-12-2013,77
ProdCat5,17-12-2013,69
ProdCat5,18-12-2013,79
ProdCat5,19-12-2013,997
ProdCat5,20-12-2013,191
ProdCat5,21-12-2013,48
ProdCat5,24-12-2013,111
ProdCat5,25-12-2013,9
ProdCat5,26-12-2013,65
ProdCat5,27-12-2013,86
ProdCat5,28-12-2013,36
ProdCat5,31-12-2013,48
ProdCat5,01-01-2014,16
ProdCat5,02-01-2014,100
ProdCat5,03-01-2014,88
ProdCat5,04-01-2014,60
ProdCat5,07-01-2014,75
ProdCat5,08-01-2014,29
ProdCat5,09-01-2014,62
ProdCat5,10-01-2014,57
ProdCat5,11-01-2014,60
ProdCat5,14-01-2014,64
ProdCat5,15-01-2014,62
ProdCat5,16-01-2014,40
ProdCat5,17-01-2014,33
ProdCat5,18-01-2014,1141
ProdCat5,21-01-2014,1136
ProdCat5,22-01-2014,1123
ProdCat5,23-01-2014,12
ProdCat5,24-01-2014,917
ProdCat5,25-01-2014,696
ProdCat5,28-01-2014,70
ProdCat5,29-01-2014,35
ProdCat5,30-01-2014,35
ProdCat5,31-01-2014,75
ProdCat6,13-06-2013,6881
ProdCat6,14-06-2013,4970
ProdCat6,15-06-2013,6075
ProdCat6,18-06-2013,7365
ProdCat6,19-06-2013,9582
ProdCat6,20-06-2013,9520
ProdCat6,21-06-2013,20482
ProdCat6,22-06-2013,4592
ProdCat6,25-06-2013,10000
ProdCat6,26-06-2013,10348
ProdCat6,27-06-2013,51973
ProdCat6,28-06-2013,4264
ProdCat6,29-06-2013,4822
ProdCat6,02-07-2013,6219
ProdCat6,03-07-2013,6798
ProdCat6,04-07-2013,7219
ProdCat6,05-07-2013,4208
ProdCat6,06-07-2013,5867
ProdCat6,09-07-2013,6314
ProdCat6,10-07-2013,6846
ProdCat6,11-07-2013,8258
ProdCat6,12-07-2013,4589
ProdCat6,13-07-2013,5585
ProdCat6,16-07-2013,5474
ProdCat6,17-07-2013,5859
ProdCat6,18-07-2013,6690
ProdCat6,19-07-2013,4397
ProdCat6,20-07-2013,5000
ProdCat6,23-07-2013,5145
ProdCat6,24-07-2013,5283
ProdCat6,25-07-2013,6366
ProdCat6,26-07-2013,6304
